[2025-12-08 01:12:59] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
[2025-12-08 01:13:14] GET id=29, fuente=noticia
[2025-12-08 01:13:14] ✓ Noticia encontrada: ID=29, Título=Eliminatorias Concacaf al Mundial 2026: cómo va la tabla de posiciones de los grupos A, B y C en la fecha FIFA de octubre
[2025-12-08 01:13:39] GET id=53, fuente=noticia
[2025-12-08 01:13:39] ✓ Noticia encontrada: ID=53, Título=Por qué la mayoría de los plásticos no se puede reciclar
[2025-12-08 01:14:55] GET id=40, fuente=noticia
[2025-12-08 01:14:55] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
[2025-12-08 01:15:03] GET id=45, fuente=noticia
[2025-12-08 01:15:03] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 01:15:42] GET id=45, fuente=noticia
[2025-12-08 01:15:42] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 01:15:44] GET id=45, fuente=noticia
[2025-12-08 01:15:44] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 01:15:45] GET id=45, fuente=noticia
[2025-12-08 01:15:45] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 01:15:46] GET id=45, fuente=noticia
[2025-12-08 01:15:46] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 01:15:50] GET id=45, fuente=noticia
[2025-12-08 01:15:50] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 01:15:54] GET id=45, fuente=noticia
[2025-12-08 01:15:54] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 01:16:02] GET id=45, fuente=noticia
[2025-12-08 01:16:02] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 01:16:03] GET id=45, fuente=noticia
[2025-12-08 01:16:03] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 01:16:03] GET id=45, fuente=noticia
[2025-12-08 01:16:03] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 01:16:03] GET id=45, fuente=noticia
[2025-12-08 01:16:03] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 01:16:04] GET id=45, fuente=noticia
[2025-12-08 01:16:04] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 01:16:04] GET id=45, fuente=noticia
[2025-12-08 01:16:04] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 01:16:09] GET id=40, fuente=noticia
[2025-12-08 01:16:09] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
[2025-12-08 01:16:12] GET id=51, fuente=noticia
[2025-12-08 01:16:12] ✓ Noticia encontrada: ID=51, Título=Selecta Sub 17 alista su debut ante Corea del Norte en el Mundial de Catar 2025
[2025-12-08 01:16:31] GET id=51, fuente=noticia
[2025-12-08 01:16:31] ✓ Noticia encontrada: ID=51, Título=Selecta Sub 17 alista su debut ante Corea del Norte en el Mundial de Catar 2025
[2025-12-08 01:16:32] GET id=51, fuente=noticia
[2025-12-08 01:16:32] ✓ Noticia encontrada: ID=51, Título=Selecta Sub 17 alista su debut ante Corea del Norte en el Mundial de Catar 2025
[2025-12-08 01:16:32] GET id=51, fuente=noticia
[2025-12-08 01:16:32] ✓ Noticia encontrada: ID=51, Título=Selecta Sub 17 alista su debut ante Corea del Norte en el Mundial de Catar 2025
[2025-12-08 01:16:32] GET id=51, fuente=noticia
[2025-12-08 01:16:32] ✓ Noticia encontrada: ID=51, Título=Selecta Sub 17 alista su debut ante Corea del Norte en el Mundial de Catar 2025
[2025-12-08 01:16:36] GET id=45, fuente=noticia
[2025-12-08 01:16:36] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 01:16:46] GET id=45, fuente=noticia
[2025-12-08 01:16:46] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 01:16:47] GET id=45, fuente=noticia
[2025-12-08 01:16:47] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 01:16:51] GET id=50, fuente=noticia
[2025-12-08 01:16:51] ✓ Noticia encontrada: ID=50, Título=Mientras Saprissa ya se despidió de la Copa Centroamericana, Concacaf confirma el duro castigo que golpea a Vladimir Quesada
[2025-12-08 01:16:56] GET id=39, fuente=noticia
[2025-12-08 01:16:56] ✓ Noticia encontrada: ID=39, Título=¿Querés hacer camping y no sabés dónde? 5 destinos que te van a encantar
[2025-12-08 01:17:28] GET id=54, fuente=noticia
[2025-12-08 01:17:28] ✓ Noticia encontrada: ID=54, Título=Estudio vincula el exceso de ozono en la atmósfera con un aumento de riesgos cardíacos
[2025-12-08 01:17:31] GET id=54, fuente=noticia
[2025-12-08 01:17:31] ✓ Noticia encontrada: ID=54, Título=Estudio vincula el exceso de ozono en la atmósfera con un aumento de riesgos cardíacos
[2025-12-08 01:17:32] GET id=54, fuente=noticia
[2025-12-08 01:17:32] ✓ Noticia encontrada: ID=54, Título=Estudio vincula el exceso de ozono en la atmósfera con un aumento de riesgos cardíacos
[2025-12-08 01:17:32] GET id=54, fuente=noticia
[2025-12-08 01:17:32] ✓ Noticia encontrada: ID=54, Título=Estudio vincula el exceso de ozono en la atmósfera con un aumento de riesgos cardíacos
[2025-12-08 01:17:32] GET id=54, fuente=noticia
[2025-12-08 01:17:32] ✓ Noticia encontrada: ID=54, Título=Estudio vincula el exceso de ozono en la atmósfera con un aumento de riesgos cardíacos
[2025-12-08 01:17:32] GET id=54, fuente=noticia
[2025-12-08 01:17:32] ✓ Noticia encontrada: ID=54, Título=Estudio vincula el exceso de ozono en la atmósfera con un aumento de riesgos cardíacos
[2025-12-08 01:17:33] GET id=54, fuente=noticia
[2025-12-08 01:17:33] ✓ Noticia encontrada: ID=54, Título=Estudio vincula el exceso de ozono en la atmósfera con un aumento de riesgos cardíacos
[2025-12-08 01:17:46] GET id=54, fuente=noticia
[2025-12-08 01:17:46] ✓ Noticia encontrada: ID=54, Título=Estudio vincula el exceso de ozono en la atmósfera con un aumento de riesgos cardíacos
[2025-12-08 01:18:07] GET id=50, fuente=noticia
